kmod 17-1
krb5 1.12.1-1
ladspa 1.13-4
lame 3.99.5-2
lapack 3.5.0-1
lcms 1.19-5
lcms2 2.6-1
ldb 1.1.16-1
ldns 1.6.17-1
less 458-1
lib32-acl 2.2.52-2
lib32-alsa-lib 1.0.27.2-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-1
lib32-elfutils 0.158-2
lib32-expat 2.1.0-1
lib32-fontconfig 2.11.1-1
lib32-freetype2 2.5.3-1
lib32-gcc-libs 4.9.0-4
lib32-gettext 0.18.3.2-1
lib32-glib2 2.40.0-1
lib32-glibc 2.19-5
lib32-glu 9.0.0-2
lib32-gstreamer0.10 0.10.36-2
lib32-gstreamer0.10-base 0.10.36-5
lib32-harfbuzz 0.9.28-1
lib32-icu 53.1-1
lib32-intel-dri 10.2.1-1
lib32-libdbus 1.8.2-1
lib32-libdrm 2.4.54-1
lib32-libffi 3.0.13-1
lib32-libgcrypt 1.6.1-1
lib32-libgpg-error 1.13-1
lib32-libice 1.0.8-1
lib32-libltdl 2.4.2-13
lib32-libpciaccess 0.13.2-1
lib32-libpng 1.6.10-1
lib32-libsm 1.2.2-1
lib32-libtxc_dxtn 1.0.1-5
lib32-libvdpau 0.7-2
lib32-libx11 1.6.2-1
lib32-libxau 1.0.8-1
lib32-libxcb 1.10-2
lib32-libxcursor 1.1.14-1
lib32-libxdamage 1.1.4-1
lib32-libxdmcp 1.1.1-1
lib32-libxext 1.3.2-1
lib32-libxfixes 5.0.1-1
lib32-libxi 1.7.2-1
lib32-libxml2 2.9.1-1
lib32-libxrandr 1.4.2-1
lib32-libxrender 0.9.8-1
lib32-libxshmfence 1.1-1
lib32-libxt 1.1.4-1
lib32-libxv 1.0.10-1
lib32-libxxf86vm 1.1.3-1
lib32-llvm-libs 3.4.1-1
lib32-mesa 10.2.1-1
lib32-mesa-libgl 10.2.1-1
lib32-mpg123 1.20.0-1
lib32-ncurses 5.9-2
lib32-orc 0.4.19-1
lib32-pcre 8.35-1
lib32-readline 6.3.006-1
lib32-systemd 213-1
lib32-util-linux 2.24.1-1
lib32-wayland 1.5.0-1
lib32-xz 5.0.5-1
lib32-zlib 1.2.8-1
libaio 0.3.109-7
libarchive 3.1.2-6
libart-lgpl 2.3.21-3
libass 0.11.2-1
libassuan 2.1.1-1
libasyncns 0.8-5
libatomic_ops 7.4.2-1
libbluray 0.5.0-1
libbsd 0.6.0-2
libcaca 0.99.beta18-2
libcanberra 0.30-4
libcanberra-pulse 0.30-4
libcap 2.24-1
libcap-ng 0.7.3-1
libcddb 1.3.2-4
libcdio 0.92-1
libcdio-paranoia 10.2+0.90+1-2
libcdr 0.0.16-2
libcl 1.1-3
libcroco 0.6.8-1
libcups 1.7.3-3
libdaemon 0.14-2
libdatrie 0.2.6-1
libdbus 1.8.2-1
libdc1394 2.2.1-2
libdca 0.0.5-4
libdmx 1.1.3-1
libdrm 2.4.54-1
libedit 20140213_3.1-1
libetonyek 0.0.4-1
libev 4.15-2
libevdev 1.2.2-1
libevent 2.0.21-3
libexif 0.6.21-2
libffi 3.0.13-4
libfontenc 1.1.2-1
libftdi-compat 0.20-1
libgcrypt 1.6.1-1
libgdm 3.12.2-1
libgee 0.14.0-1
libglade 2.6.4-5
libgnome-keyring 3.12.0-1
libgpg-error 1.13-1
libgsf 1.14.30-1
libgusb 0.1.6-1
libgweather 3.12.2-1
libgxps 0.2.2-3
libibus 1.5.8-1
libical 1.0-3
libice 1.0.9-1
libid3tag 0.15.1b-8
libidn 1.28-2
libimobiledevice 1.1.6-1
libinput 0.2.0-1
libirman 0.4.5-3
libjpeg-turbo 1.3.1-1
libksba 1.3.0-1
libldap 2.4.39-1
liblqr 0.4.2-1
libltdl 2.4.2-13
libmad 0.15.1b-7
libmikmod 3.3.6-1
libmm-glib 1.2.0-4
libmng 2.0.2-3
libmodplug 0.8.8.5-1
libmp4v2 2.0.0-3
libmpc 1.0.2-2
libmspub 0.0.6-2
libndp 1.3-1
libnewt 0.52.17-2
libnl 3.2.24-1
libnm-glib 0.9.8.10-3
libnm-gtk 0.9.10.0-2
libnotify 0.7.6-1
libodfgen 0.0.4-1
libogg 1.3.1-2
libpaper 1.1.24-7
libpcap 1.5.3-1
libpciaccess 0.13.2-2
libpipeline 1.3.0-1
libplist 1.11-1
libpng 1.6.10-1
libproxy 0.4.11-3
libpulse 5.0-1
libraw1394 2.1.0-2
libreoffice-calc 4.2.4-2
libreoffice-common 4.2.4-1
libreoffice-en-US 4.2.4-1
libreoffice-impress 4.2.4-1
libreoffice-writer 4.2.4-1
librsvg 1:2.40.2-1
libsamplerate 0.1.8-3
libsasl 2.1.26-7
libseccomp 2.1.1-1
libsecret 0.18-1
libsigsegv 2.10-2
libsm 1.2.2-2
libsndfile 1.0.25-3
libsodium 0.5.0-1
libsoup 2.46.0-1
libspectre 0.2.7-1
libspiro 20071029-3
libssh2 1.4.3-2
libsystemd 213-6
libtasn1 3.6-1
libteam 1.11-1
libthai 0.1.19-1
libtheora 1.1.1-3
libtiff 4.0.3-4
libtinfo 5-1
libtirpc 0.2.4-1
libtool 2.4.2-13
libtxc_dxtn 1.0.1-5
libunique3 3.0.2-2
libunistring 0.9.3-6
libusb 1.0.18-1
libusb-compat 0.1.5-1
libusbmuxd 1.0.9-1
libutempter 1.1.6-2
libutil-linux 2.24.2-1
libva 1.3.1-1
libvdpau 0.7-1
libvisio 0.0.31-3
libvorbis 1.3.4-1
libvpx 1.3.0-1
libwacom 0.9-1
libwbclient 4.1.8-1
libwebp 0.4.0-1
libwmf 0.2.8.4-12
libwpd 0.9.9-1
libwpg 0.2.2-2
libwps 0.2.9-1
libx11 1.6.2-2
libx264 1:142.20140311-4
libxau 1.0.8-2
libxaw 1.0.12-1
libxcb 1.10-2
libxcomposite 0.4.4-1
libxcursor 1.1.14-2
libxdamage 1.1.4-1
libxdmcp 1.1.1-1
libxext 1.3.2-1
libxfixes 5.0.1-1
libxfont 1.4.7-3
libxft 2.3.2-1
libxi 1.7.2-1
libxinerama 1.1.3-2
libxkbcommon 0.4.2-1
libxkbfile 1.0.8-1
libxklavier 5.4-1
libxml2 2.9.1-5
libxmu 1.1.2-1
libxpm 3.5.11-1
libxrandr 1.4.2-2
libxrender 0.9.8-1
libxshmfence 1.1-1
libxslt 1.1.28-3
libxss 1.2.2-2
libxt 1.1.4-1
libxtst 1.2.2-1
libxv 1.0.10-1
libxvmc 1.0.8-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.3-1
libyaml 0.1.6-1
licenses 20130203-1
links 2.8-1
linux 3.14.6-1
linux-api-headers 3.14.1-1
linux-firmware 20140316.dec41bc-1
lirc-utils 1:0.9.0-71
llpp-git 1567.ea98622-1
llvm 3.4.1-2
llvm-libs 3.4.1-2
logrotate 3.8.7-3
lpsolve 5.5.2.0-2
lua 5.2.3-1
lvm2 2.02.106-2
lynx 2.8.8-1
lzo2 2.06-3
m4 1.4.17-1
make 4.0-2
man-db 2.6.7.1-1
man-pages 3.68-1
mcpp 2.7.2-4
mdadm 3.3-2
mesa 10.2.1-1
mesa-libgl 10.2.1-1
mkinitcpio 17-1
mkinitcpio-busybox 1.21.1-2
mlocate 0.26-3
mobile-broadband-provider-info 20120614-2
monica 3.7-3
mozilla-common 1.4-3
mpfr 3.1.2.p8-1
mpg123 1.20.0-1
mplayer 37051-2
mtdev 1.1.5-1
mupdf 1.4-2
mutter 3.12.2-1
mutter-wayland 3.12.1-1
nano 2.2.6-2
ncurses 5.9-6
neon 0.30.0-1
net-tools 1.60.20130531git-1
netctl 1.7-1
nettle 2.7.1-1
network-manager-applet 0.9.10.0-2
networkmanager 0.9.10.0-2
newsbeuter 2.8-1
nmap 6.46-1
nspr 4.10.6-1
nss 3.16.1-1
ocaml 4.01.0-3
openal 1.15.1-1
opencollada 20140108-1
opencolorio 1.0.9-2
opencore-amr 0.1.3-1
opencv 2.4.8-2
openexr 2.1.0-1
openimageio 1.4.5.git-2
openjpeg 1.5.2-1
openproj 1.4-4
openresolv 3.5.6-1
openshadinglanguage 1.5.7dev-2
openssh 6.6p1-2
openssl 1.0.1.h-1
opus 1.1-1
orc 0.4.19-1
p11-kit 0.20.2-1
pa-applet-git 16.45685c4-1
package-query 1.2-2
pacman 4.1.2-6
pacman-mirrorlist 20140531-1
pam 1.1.8-4
pam_ssh 2.0-2
pambase 20130928-1
pango 1.36.3-2
pangox-compat 0.0.2-1
patch 2.7.1-2
pciutils 3.2.1-1
pcmciautils 018-7
pcre 8.35-1
perl 5.20.0-2
perl-encode-locale 1.03-2
perl-error 0.17022-1
perl-file-listing 6.04-2
perl-file-which 1.09-3
perl-html-parser 3.71-3
perl-html-tagset 3.20-3
perl-http-cookies 6.01-2
perl-http-daemon 6.01-2
perl-http-date 6.02-2
perl-http-message 6.06-1
perl-http-negotiate 6.01-2
perl-io-string 1.08-8
perl-libwww 6.06-1
perl-locale-gettext 1.05-11
perl-lwp-mediatypes 6.02-2
perl-net-http 6.06-1
perl-timedate 2.30-1
perl-uri 1.60-1
perl-www-robotrules 6.02-2
pinentry 0.8.3-1
pixman 0.32.4-1
pkg-config 0.28-1
plymouth 0.9.0-4
polkit 0.112-2
poppler 0.26.1-1
poppler-glib 0.26.1-1
popt 1.16-7
portmidi 217-5
procps-ng 3.3.9-3
psmisc 22.21-2
psutils 1.17-4
pth 2.0.7-5
pulseaudio 5.0-1
pulseaudio-alsa 2-3
pygobject-devel 3.12.2-1
pygobject2-devel 2.28.6-10
pygtk 2.24.0-3
pyqt4-common 4.10.4-2
python 3.4.1-1
python-cgkit 2.0.0alpha9-2
python-dbus-common 1.2.0-3
python-numpy 1.8.1-1
python-powerline-git 1163.7ac2717-1
python-setuptools 4.0.1-1
python-xdg 0.25-2
python2 2.7.7-1
python2-atspi 2.12.0-1
python2-beaker 1.6.4-2
python2-cairo 1.10.0-1
python2-dateutil 2.2-2
python2-dbus 1.2.0-3
python2-gobject 3.12.2-1
python2-gobject2 2.28.6-10
python2-llvmmath-git 134.0f4747c-1
python2-mako 0.9.1-2
python2-markupsafe 0.23-1
python2-matplotlib 1.3.1-4
python2-meta-git 20121231-1
python2-numba-git 2014.02.04.g39d1f9c-1
python2-numpy 1.8.1-1
python2-pandas 0.14.0-2
python2-pip 1.5.6-1
python2-pygame 1.9.1-8
python2-pyparsing 2.0.2-1
python2-pyqt4 4.10.4-2
python2-pyqtgraph 0.9.8-1
python2-pytz 2014.4-1
python2-pyzmq 14.3.0-1
python2-requests 2.3.0-1
python2-scipy 0.14.0-1
python2-setuptools 4.0.1-1
python2-sip 4.15.5-2
python2-six 1.7.2-1
qpdf 5.1.2-1
qt4 4.8.6-1
qtwebkit 2.3.3-1
randrproto 1.4.0-1
raptor 2.0.13-2
rarian 0.8.1-3
rasqal 1:0.9.32-1
ratpoison 1.4.7-1
readline 6.3.006-1
reaver 1.4-1
recode 3.6-8
recordproto 1.14.2-1
redland 1:1.0.17-2
reiserfsprogs 3.6.24-1
remind 3.01.13-2
renderproto 0.11.1-2
rfkill 0.5-1
rsync 3.1.0-2
rtkit 0.11-4
rtmpdump 20131205-1
ruby 2.1.2-1
ruby-chronic-old 0.9.1-1
ruby-highline 1.6.21-1
ruby-locale 2.0.8-1
ruby-lockfile 2.1.0-1
ruby-mime-types-1 1.25.1-1
